#{"t_start": 1645379623.556783, "env_id": null}
r,l,t
1.142857,7,71.799745
1.214286,10,71.904744
-0.857143,7,71.987875
1.166667,8,72.075364
-0.833333,8,72.170368
-9.595238,18,72.345023
-0.880952,6,72.422025
1.190476,9,72.595891
-0.833333,8,72.689882
1.309524,14,72.832883
-0.833333,8,72.924882
-9.666667,15,73.074886
1.166667,8,73.162881
1.333333,15,73.320881
-0.809524,9,73.422881
-0.880952,6,73.507882
-9.738095,12,73.643889
1.142857,7,73.723095
-9.809524,9,73.817095
1.238095,11,73.934096
1.190476,9,74.109095
1.238095,11,74.234095
1.238095,11,74.357099
1.238095,11,74.485094
-0.714286,13,74.643098
1.142857,7,74.725098
1.238095,11,74.843096
-9.666667,15,74.992107
1.261905,12,75.119095
1.285714,13,75.255277
-0.857143,7,75.33999
-0.785714,10,75.52699
1.285714,13,75.66099
-0.809524,9,75.76299
-0.785714,10,75.87499
1.214286,10,75.982991
-9.738095,12,76.105985
1.119048,6,76.177978
1.142857,7,76.259978
1.214286,10,76.366008
1.214286,10,76.477008
1.214286,10,76.588003
1.119048,6,76.659075
-0.809524,9,76.76207
1.190476,9,76.860186
1.142857,7,77.017598
1.261905,12,77.144599
1.166667,8,77.235602
-0.857143,7,77.319599
-9.714286,13,77.456805
-9.738095,12,77.598806
-9.738095,12,77.736799
1.166667,8,77.8368
1.238095,11,77.970799
1.309524,14,78.131811
1.214286,10,78.258801
1.285714,13,78.399615
1.166667,8,78.571321
1.285714,13,78.707323
1.261905,12,78.833321
1.142857,7,78.913321
-0.833333,8,79.006871
1.285714,13,79.140243
1.071429,4,79.193808
1.214286,10,79.30381
1.166667,8,79.421806
-9.809524,9,79.515808
-0.857143,7,79.604807
1.238095,11,79.723806
-0.904762,5,79.78981
1.190476,9,79.887808
1.071429,4,79.939806
1.166667,8,80.103809
-0.809524,9,80.204806
1.238095,11,80.322507
-0.714286,13,80.461507
1.214286,10,80.570511
1.261905,12,80.69852
1.166667,8,80.78884
1.285714,13,80.921362
-0.761905,11,81.041892
1.214286,10,81.151783
1.142857,7,81.232805
1.261905,12,81.355779
-0.809524,9,81.456511
-9.666667,15,81.686584
-0.738095,12,81.812649
1.238095,11,81.92765
1.238095,11,82.048163
-9.690476,14,82.187161
-0.738095,12,82.31616
-9.761905,11,82.42816
1.214286,10,82.538163
1.285714,13,82.674158
1.261905,12,82.801163
-9.690476,14,83.017009
1.261905,12,83.143006
1.214286,10,83.251006
1.095238,5,83.313006
1.214286,10,83.42061
-0.785714,10,83.533435
-9.714286,13,83.692431
-9.738095,12,83.815654
1.166667,8,83.90367
-9.666667,15,84.053083
1.142857,7,84.133932
-0.809524,9,84.237949
1.142857,7,84.319963
1.119048,6,84.474109
1.190476,9,84.58215
1.214286,10,84.691143
1.285714,13,84.82612
1.214286,10,84.932978
-0.738095,12,85.067098
1.190476,9,85.162047
1.214286,10,85.27104
-0.761905,11,85.391065
1.166667,8,85.481328
1.166667,8,85.572312
1.142857,7,85.650311
1.238095,11,85.768575
-0.833333,8,85.862576
1.261905,12,86.064438
1.214286,10,86.169593
1.214286,10,86.276594
1.190476,9,86.591593
1.285714,13,86.72823
1.238095,11,86.849744
1.214286,10,86.958249
